Year,Age,Gross Salary,Average Earnings,Pension Points,Cumulative Points
2010,30,36000.0,37517.04276131029,0.959563903504816,0.959563903504816
2011,31,38400.0,38267.38361653649,1.0034655200050364,1.9630294235098524
2012,32,40800.0,39032.731288867224,1.0452765833385795,3.008306006848432
2013,33,43200.0,39813.38591464457,1.0850621972372798,4.093368204085712
2014,34,45600.0,40609.65363293746,1.1228857160952241,5.216253920180936
2015,35,48000.0,41421.84670559621,1.158808788539963,6.375062708720899
2016,36,52800.0,42250.283639708134,1.249695752347019,7.624758461067918
2017,37,57600.0,43095.2893125023,1.336572997162587,8.961331458230505
2018,38,62400.0,43957.195098752345,1.4195628237837934,10.3808942820143
2019,39,67200.0,44836.33900072739,1.4987842785047591,11.879678560519059
2020,40,72000.0,45733.06578074194,1.5743532337234865,13.454031794242546
2021,41,73920.0,46647.727096356786,1.5846431241399797,15.038674918382526
2022,42,75840.0,47580.68163828391,1.5939242017705428,16.632599120153067
2023,43,77760.0,48532.295271049596,1.6022320717723249,18.23483119192539
2024,44,79680.0,49502.94117647059,1.6096013308775474,19.84443252280294
2025,45,81600.0,50493.0,1.6160655932505497,21.46049811605349
2026,46,83232.0,51502.86,1.6160655932505497,23.07656370930404
2027,47,84896.64,52532.917199999996,1.6160655932505497,24.69262930255459
2028,48,86594.57280000001,53583.57554400001,1.6160655932505497,26.30869489580514
2029,49,88326.46425599999,54655.24705488,1.6160655932505494,27.92476048905569
2030,50,90092.99354112,55748.3519959776,1.6160655932505494,29.54082608230624
2031,51,91894.8534119424,56863.319035897155,1.6160655932505494,31.15689167555679
2032,52,93732.75048018125,58000.5854166151,1.6160655932505494,32.77295726880734
2033,53,95607.40548978488,59160.5971249474,1.6160655932505497,34.389022862057885
2034,54,97519.55359958058,60343.80906744635,1.6160655932505497,36.00508845530843
2035,55,99469.9446715722,61550.68524879528,1.6160655932505497,37.62115404855898
2036,56,101459.34356500364,62781.698953771185,1.6160655932505497,39.237219641809524
2037,57,103488.53043630371,64037.332932846606,1.6160655932505497,40.85328523506007
2038,58,105558.3010450298,65318.07959150355,1.6160655932505497,42.46935082831062
2039,59,107669.46706593038,66624.44118333362,1.6160655932505494,44.08541642156116
2040,60,109822.856407249,67956.9300070003,1.6160655932505494,45.70148201481171
2041,61,112019.31353539397,69316.0686071403,1.6160655932505492,47.317547608062256
2042,62,114259.69980610187,70702.3899792831,1.6160655932505497,48.9336132013128
2043,63,116544.8938022239,72116.43777886877,1.6160655932505494,50.54967879456335
2044,64,118875.79167826838,73558.76653444614,1.6160655932505494,52.165744387813895
2045,65,121253.30751183376,75029.94186513507,1.6160655932505497,53.78180998106444
2046,66,123678.37366207043,76530.54070243776,1.6160655932505497,55.39787557431499
2047,67,126151.94113531183,78061.15151648653,1.6160655932505494,57.013941167565534
